ENGL 263 | Literature in English I | OY Akoto = B2(254),BC2(135),FST2(52) || N Awuah Darteh = ES2(255),CS(266)
MATH 461 | Real Functions I | K Baah-Gyamfi = M4(104)
CHEM 473 | Introduction to Computational Chemistry | R Tia = C4(20)
ACTS 463 | Loss Models I | D Asamoah Owusu = AS4(122)
STAT 475 | Actuarial Statistics I | D Asamoah Owusu = ST4(4)
MATH 173 | Logic & Set Theory | E Prempeh = M1(160),ST1(216) || N/A = AS1(89)
PHY 151 | Introductory Mechanics | DD Wemegah = P1(88),MET1(76)
OPT 513 | Research Methods I | A Edusei = OD5(37)
PHY 555 | Theory of Fields | FK Ampong = MPhil SS/MS/NP(6)
PHY 591 | Global Geophysics | A Menyeh = MPhil Geo(2)
MSTAT 577 | Analysis of Categorical Data | AO Adebanji = MPhil MS(16)
MET 549 | Advanced Meteorology | T Annor = MPhil Meteo(7)
CHEM 511 | Separation Methods | RB Voegborlo = MPhil AEC(1)
PST 501 | Advanced General Chemistry | E Adei/NK Asare-Donkor/EE = MPhil PST(1)
CHEM 531 | Physical Organic Chemistry | A Acheampong = MPhil ONPC(2)
FTECH 587 | Food Processing Technology I | EA Amankwah = MSc FST(9)
FTECH 559 | Fish and Meat Technology | WY Akwetey = MPhil FST(1)
ENGL 263 | Literature in English I | OY Akoto = OD2(85) || N Awuah Darteh = CS2 Regular(190),CS2 Parallel(54),AS2(154) || I Forson = M2(191) || JP Kuutiero = P2(162),MET2(51)
CHEM 151 | Basic Inorganic Chemistry | NO Boadi = C1(203)
BIOL 463 | Aquatic Ecology | S Aikins = B4(159)
ACTS 363 | Life Contigencies I | D Asamoah Owusu = AS3(90)
BME 371 | Instrumentation I | Y Ahmed = OD3(43)
OPT 615 | Advanced Ocular Pathology | SY Lartey = OD6(39)
CHEM 169 | Practical Chemistry I | MA Nkansah = C3(195)
CHEM 457 | Introduction to Medicinal Chemistry | JK Mensah = C4(70)
CSM 491 | Graph Theory & its Applications | JK Panford = CS4 Regular(104),CS4 Parallel(12)
CHEM 357 | Nuclear Chemistry | MA Nkansah = C3(195)
LAW 363 | Environmental Law I | C Nyinevi = ES3(120)
MATH 483 | Stability Theory of Dynamical Systems | N/A = M4(36)
STAT 471 | Applied Time Series | NK Frempong = ST4(14)
OPT 601 | Clinical Medicine & Systemtic Diseases | GA Kuffour = OD6(39)
CSM 575 | Computer Vision and Image Processing | G Abdul-Salaam = MPhil CS(8)
MIT 563 | Image Processing | G Abdul-Salaam = MIT(16)
ENVS 353 | Hydrology | E Appiah-Adjei = ES3(120)
CHEM 351 | Inorganic Polymers & Electron Deficient Compounds | NK Asare-Donkor = C3(195)
BIOL 501 | Ecosystem and Conservation and Vegetation | AK Anning = MPhil ES(8)
FTECH 557 | Root and Tuber Processing Technology | FD Wireko-Manu/I Oduro = MPhil FST(4)
NUT 553 | Clinical Nutrition and Therapeutics | CA Appiah/B Nkoom = MPhil HND(14)
ACTS 561 | Financial Mathematics | D Asamoah Owusu = MPhil AS(7)
BCHEM 583 | Methods in Biotechnology | P Twumasi = MSc Biotech(12)
FTECH 373 | Food Fermentation | F Alemawor/J Adubofuor = FST3(87)
BIOL 155 | Plant Morphology & Anatomy | EJD Belford = B1(318)
FTECH 481 | Food Processing Technology I | J Adubofuor/KO Falade = BC4(12),FST4(47)
CSM 157 | Introduction to Structured Program Design | JB Hayfron Acquah = CS1(221)
BCHEM 161 | Introductory Laboratory Techniques | TD Blutse = BC1(246)
FTECH 151 | Techniques in Laboratory Analysis | IW Ofosu = FST1(140)
BIOL 353 | Principles of Ecology II | P Addo-Fordjour = B3(319)
CHEM 157  | General Chemistry | O Akoto = ES1(188)
CSM 395 | Introduction to Artificial Intelligence | MY Missah = CS3 Regular(139), CS3 Parallel(31)
BIOL 251 | Basic Microbiology | LA Ofori = B2(254) || K Badu = ES2(255) || RC Abaidoo = OD2(85),BC2(135),FST2(52)
ACTS 161 | Fundamentals of Accounting | JA Agana = AS1(89),AS2(154)
PHY 253 | Classical Mechanics I | EKK Abavare = P2(152),MET2(51)
PHY 451 | Atomic Physics | OA Nunoo = P4(69)
SMS 291 | General Pathology | B Duduyemi = OD3(43)
BCHEM 453 | Enzymes I | K Nsiah = BC4(125)
FTECH 485 | Food Enzymology | F Alemawor/JK Agbenorhevi = FST4(47)
FTECH 371 | Food Hygiene & Sanitation | GM Ankar-Brewoo = FST3(87), MSc FST(5)
OPT 451 | Human Visual Perception | AO Amedo = OD4(25)
CSM 255 | Open Source Operating Systems | ED Ansong = CS2 Regular(190),CS2 Parallel(54)
ACTS 567 | Actuarial Mathematics I | D Asamoah Owusu = MPhil AS(7)
ACTS 661 | Predictive Analysis | D Asamoah Owusu = MPhil AS(6)
MATH 501 | Functional Analysis I | E Prempeh = MPhil PM/AM(11)
MATH 471 | Tensor Calculus & Differential Geometry I | KF Darkwah = M4(15)
BIOL 153 | Basic Medical Genetics | AK Anning = OD1(82),B1(318),BC1(246)
MATH 161 | Introductory Pure Mathematics | JA Ackora-Prah = FST1(140),CS1(221) || IA Adjei = C1(203),ES1(188)
MET 451 | Aviation Meteorology | C Yorke = MET4(29)
PHY 359 | Mathematics for Physics V | I Adjei = P3(84),MET3(32)
BCHEM 365 | Molecular Genetics | P Twumasi = BC3(158)
CSM 477 | Data Communications | M Asante = CS4 Regular(104),CS4 Parallel(12)
ACTS 367 | Mathematical Corporate Finance I | VK Dedu = AS3(90)
STAT 463 | Introduction to Measure & Probability Theory | RK Boadi = ST4(74)
STAT 361 | Statistical Computing & Data Analysis I | E Harris = ST3(214)
GEOG 363 | Introduction to Resource Analysis | A Kabila = ES3(120)
OPT 511 | Primary Eye Care Clinic I | E Kobia-Acquah = OD5(37)
MATH 265 | Mathematical Methods I | I Adjei = C2(266) || W Obeng-Denteh = M2(191),ST2(302) || GA Okyere = AS2(154)
MET 453 | Control of Air Pollution/Dispersion Meteorology | E Quansah = MET4(29)
MET 361 | Tropical Meteorology | B Yorke = MET3(32)
MET 251 | Introduction to Meteorology I | T Annor = MET2(51)
PHY 355 | Environmental Physics I | T Annor = P3(87)
ENVS 253| Agro Ecology | EJD Belford = ES2(255)
OPT 453 | Ocular Pathology I | K Amoah = OD4(25)
CHEM 293 | Physical Chemistry for Food Scientist | JK Agbenorhevi = FST2(52)
BIOL 461 | Animal Behaviour | S Akyeampong = B4(159)
BCHEM 485 | Experimental Design & Statistical Computing | RK Avuglah = ES4(81)
BCHEM 455 | Molecular Biology and Biotechnology | P Twumasi = BC4(125)
FTECH 489 | Quality Assurance & Legislation | HE Lutterodt/LDK De Souza = FST4(47)
CHEM 453 | Physiologically Active Compounds | A Acheampong = C4(94)
CSM 483 | Operating Systems | ED Ansong = CS4 Regular(104),CS4 Parallel(12)
MATH 465 | Optimization I | JA Ackora-Prah = M4(80)
STAT 467 | Design & Analysis of Experiments | RK Avuglah = ST4(74)
BIOL 159 | Principles of Systematics | P Addo-Fordjour = B1(318)
OPT 603 | Health Care Law and Ethics | LO Adjare = OD6(39)
* STAT 559 | Statistical Methods for Research | RK Avuglah = All Classes
MATH 503 | Computer Solution to Scientific Problems I | KF Darkwah = MPhil PM/AM(32)
PHY 553 | Topics in Classical and Quantum Mechanics | EKK Abavare = MPhil SS(3)
PHY 563 | Analytical and Quantitative Methods in Material | F Boakye = MPhil MS(3)
PHY 573 | Seismic Theory & Data Acquisition | SK Danuor = MPhil Geo(2)
MSTAT 585 | Econometrics | S Twumasi-Ankrah = MPhil MS(16)
CSM 553 | Software Design and Architecture | N Ussiph = MPhil CS(8)
MIT 551 | Developmental Enterprise Systems | F Twum = MIT(16)
MET 545 | Atmospheric Physics | LK Amekudzi = MPhil Meteo(0)
* PST 513 | Research Methods I | AA Adimado = All Classes(5)
ACTS 467 | Mathematical Models in Finance | YE Ayekple = AS4(122)
BIOL 355 | Entomology I | JI Adam = B3(319)
MATH 361 | Complex Analysis | RK Boadi = M3(94)
FTECH 379 | Food Packaging | GM Ankar-Brewoo/LDK De Souza = FST3(87)
PHY 263 | Nuclear Physics | S Aggrey-Smith = P2(166)
CHEM 353 | Organic Synthesis & Spectroscopy | S Osafo-Acquaah = C3(195)
BIOL 507 | Systems and Computer Modelling | IK Dontwi = MPhil ES(8)
CSM 183 | Introduction to Computers | KA Pabbi = BC2(135) || N Ussiph = FST1(140) || ED Ansong = B2(254) || KO Peasah = OD1(82) || F Twum = C1(203) || EO Oppong = P1(87),MET1(76) || F Twum = ES1(188)
MATH 171 | Calculus I | GA Okyere = M1(160),AS1(89) ||  W Obeng-Denteh = ST1(216)
CSM 353 | Survey of Programming Languages | JK Panford = CS3 Regular(139), CS3 Parallel(31)
PHY 477 | Electrical & Electromagnetic Propecting Methods | AA Aning = P4(10)
PHY 483 | Non-Ferrous Metals and Alloys | A Britwum = P4(10)
PHY 465 | Biophysics I | S Aggrey-Smith = P4(37)
PHY 467 | Microprocessors | MKE Donkor = P4(22)
ECON 151 | Elements of Economics | JB Dramani = C3(100),CS1(221),M2(120),AS1(89),ST1(216),P2(82)
CHEM 375 | Chemistry and Society | MA Nkansah = C3(20)
CSM 285 | Accounting I | B Osei = CS3 Regular(139), CS3 Parallel(31)
MATH 365 | Differential Equations II | PA Yirenkyi = M3(94),ST3(214)
ACTS 371 | Application Development for Actuarial Science | EDJ Owusu Ansah = AS3(90)
ENVS 355 | Environment & Health | LA Ofori = ES3(120)
CHEM 153 | Basic Organic Chemistry I | JK Mensah = C1(203) || A Acheampong = BC1(246)
ACTS 563 | Risk Theory | NK Frempong = MPhil AS(7)
OPT 507 | Ambiyopia & Strabismus | AO Amedo = OD5(37)
MATH 463 | Integral Equations | IK Dontwi = M4(104)
BCHEM 581 | Biosafety and Bioethics | C Larbie = MPhil Biochem(4), MSc Biotech(4)
